sale_id,sale_date,store_id,product_id,customer_id,qty,unit_price,total_amount,payment_type,city_id,city_name,product_name,category,month,price_band
1,14-12-2023,2,3,4367,1,200,200,"Cash",1,Mumbai,Café Latte,latte,2023-12,150-300
2,12-06-2024,108,2,1291,1,180,180,"UPI",13,Nagpur,Cappuccino,latte,2024-06,150-300
3,25-06-2025,28,7,1362,1,210,210,"Card",3,Bengaluru,Mocha,latte,2025-06,150-300
4,05-02-2025,143,11,4848,3,190,570,"Cash",20,Varanasi,Flat White,latte,2025-02,150-300
5,22-12-2023,85,8,4869,1,150,150,"Card",9,Surat,Filter Coffee,filter,2023-12,100-150
6,21-11-2024,115,7,3647,1,210,210,"UPI",14,Indore,Mocha,latte,2024-11,150-300
7,30-06-2023,55,12,165,1,240,240,"UPI",6,Pune,Caramel Macchiato,latte,2023-06,150-300
8,07-06-2023,138,8,45274,2,150,300,"UPI",19,Vadodara,Filter Coffee,filter,2023-06,100-150
9,13-09-2023,33,1,5737,1,120,120,"Cash",3,Bengaluru,Espresso Shot,espresso,2023-09,100-150
10,05-08-2023,144,8,5322,1,150,150,"Card",20,Varanasi,Filter Coffee,filter,2023-08,100-150
11,25-07-2023,35,1,4416,2,120,240,"Card",4,Hyderabad,Espresso Shot,espresso,2023-07,100-150
12,29-07-2025,62,1,4972,1,120,120,"UPI",7,Chennai,Espresso Shot,espresso,2025-07,100-150
13,24-05-2025,138,9,4302,1,230,230,"UPI",19,Vadodara,Affogato,espresso,2025-05,150-300
14,06-02-2023,86,9,1461,1,230,230,"Card",10,Jaipur,Affogato,espresso,2023-02,150-300
15,11-11-2024,53,3,1807,1,200,200,"UPI",6,Pune,Café Latte,latte,2024-11,150-300
16,09-02-2025,38,10,3459,2,90,180,"Card",4,Hyderabad,Instant Strong Coffee,instant,2025-02,50-100
17,23-07-2024,83,8,2264,5,150,750,"UPI",9,Surat,Filter Coffee,filter,2024-07,100-150
18,29-10-2024,9,1,5447,1,120,120,"Cash",1,Mumbai,Espresso Shot,espresso,2024-10,100-150
