sale_id,sale_date,store_id,product_id,customer_id,qty,unit_price,total_amount,payment_type
1,2023-12-14,2,3,4367,1,200,200,Cash
2,2024-06-12,108,2,1291,1,180,180,UPI
3,2025-06-25,28,7,1362,1,210,210,Card
4,2025-02-05,143,11,4848,3,190,570,Cash
5,2023-12-22,85,8,4869,1,150,150,Card
6,2024-11-21,115,7,3647,1,210,210,UPI
7,2023-06-30,55,12,165,1,240,240,UPI
8,2023-06-07,138,8,45274,2,150,300,UPI
9,2023-09-13,33,1,5737,1,120,120,Cash
10,2023-08-05,144,8,5322,1,150,150,Card
11,2023-07-25,35,1,4416,2,120,240,Card
12,2025-07-29,62,1,4972,1,120,120,UPI
13,2025-05-24,138,9,4302,1,230,230,UPI
14,2023-02-06,86,9,1461,1,230,230,Card
15,2024-11-11,53,3,1807,1,200,200,UPI
16,2025-02-09,38,10,3459,2,90,180,Card
17,2024-07-23,83,8,2264,5,150,750,UPI
18,2024-10-29,9,1,5447,1,120,120,Cash
19,2023-02-01,8,2,5219,1,180,180,UPI
20,2025-03-26,49,8,45801,1,150,150,Card
21,2024-07-26,138,11,5168,2,190,380,Card
22,2025-09-13,39,6,5507,1,220,220,Cash
23,2025-04-24,75,5,697,1,80,80,UPI
24,2023-06-15,139,8,4279,3,150,450,UPI
25,2024-10-12,45,5,348,1,80,80,Card
26,2025-01-05,130,7,362,1,210,210,UPI
27,2023-02-22,67,4,5216,1,250,250,UPI
28,2024-03-09,133,5,3320,1,80,80,UPI
29,2024-11-08,106,3,4192,1,200,200,UPI
30,2025-05-15,13,6,1395,2,220,440,UPI
31,2024-10-17,11,9,5121,1,230,230,UPI
32,2023-04-14,62,7,5032,1,210,210,Card
33,2023-04-12,5,10,4308,1,90,90,UPI
34,2023-05-16,69,1,44979,2,120,240,UPI
35,2024-02-13,136,2,45360,3,180,540,Card
36,2025-10-29,67,11,5274,1,190,190,Cash
37,2024-07-09,128,4,3098,2,250,500,UPI
38,2025-01-07,17,7,1269,1,210,210,UPI
39,2024-09-15,103,10,5948,1,90,90,Card
40,2025-02-26,79,7,170,1,210,210,UPI
41,2024-01-13,34,6,4329,1,220,220,UPI
42,2023-08-02,65,2,335,2,180,360,UPI
43,2023-07-07,100,3,3062,2,200,400,Cash
44,2023-02-07,11,3,1877,2,200,400,UPI
45,2023-09-09,140,11,1571,4,190,760,Cash
46,2023-05-15,6,11,3091,1,190,190,Card
47,2025-06-05,75,9,4345,1,230,230,Cash
48,2023-10-18,58,12,1978,1,240,240,Card
49,2025-10-29,46,5,1100,1,80,80,Cash
50,2023-11-02,16,11,308,1,190,190,Card
51,2024-11-23,75,4,1771,1,250,250,Card
52,2025-10-22,91,4,2112,1,250,250,Cash
53,2025-04-28,32,7,1159,2,210,420,UPI
54,2024-08-02,117,9,1014,1,230,230,Card
55,2025-05-15,51,4,5169,1,250,250,Card
56,2024-02-13,35,7,1850,1,210,210,UPI
57,2025-01-12,9,12,688,3,240,720,Card
58,2023-04-14,130,8,2683,5,150,750,UPI
59,2025-10-16,129,7,5901,2,210,420,Cash
60,2023-10-16,3,3,218,5,200,1000,UPI
61,2025-06-23,28,6,918,1,220,220,Cash
62,2024-10-03,135,1,3091,1,120,120,Card
63,2023-06-29,128,5,4884,1,80,80,Card
64,2025-05-19,107,1,45669,1,120,120,UPI
65,2023-03-03,89,3,45030,1,200,200,Card
66,2023-12-27,32,9,4711,1,230,230,Card
67,2023-11-11,58,4,3911,1,250,250,UPI
68,2023-08-17,36,7,5923,1,210,210,UPI
69,2024-04-11,130,3,3697,1,200,200,UPI
70,2023-07-26,20,2,299,1,180,180,Cash
71,2024-08-29,76,3,3337,4,200,800,UPI
72,2023-01-18,94,11,2765,1,190,190,Cash
73,2024-07-31,110,7,45287,2,210,420,Card
74,2023-04-04,25,2,3495,2,180,360,UPI
75,2025-03-03,11,4,45155,1,250,250,Cash
76,2023-01-19,93,7,4977,1,210,210,Cash
77,2023-06-25,7,7,3733,1,210,210,Cash
78,2025-03-25,55,2,45533,2,180,360,UPI
79,2024-02-18,88,6,3521,1,220,220,UPI
80,2025-06-28,28,8,3976,1,150,150,Card
81,2025-04-04,37,10,4297,2,90,180,UPI
82,2023-01-14,11,2,4543,1,180,180,Card
83,2024-04-16,115,4,1945,1,250,250,Card
84,2023-08-01,141,12,45102,1,240,240,UPI
85,2024-05-11,60,11,5930,1,190,190,UPI
86,2024-01-14,95,8,148,1,150,150,UPI
87,2025-01-16,95,10,532,2,90,180,UPI
88,2023-11-28,47,1,3712,5,120,600,Card
89,2023-10-21,43,7,5785,1,210,210,Cash
90,2025-10-28,108,10,3080,2,90,180,Card
91,2025-01-07,142,11,4918,2,190,380,Card
92,2025-01-12,117,2,45423,1,180,180,Card
93,2025-01-13,94,10,4660,1,90,90,UPI
94,2023-11-29,27,5,4100,3,80,240,Card
95,2023-06-03,50,3,45258,1,200,200,Cash
96,2023-09-25,58,5,3522,1,80,80,Card
97,2024-08-25,15,7,189,5,210,1050,Card
98,2025-05-09,102,11,3422,4,190,760,UPI
99,2025-09-10,114,3,2536,1,200,200,Wallet
100,2025-09-01,59,9,2669,1,230,230,Card
101,2025-04-21,93,11,4262,1,190,190,Cash
102,2023-04-21,5,5,2824,4,80,320,Cash
103,2023-08-15,31,3,45194,1,200,200,UPI
104,2023-07-17,8,9,1207,1,230,230,Card
105,2025-03-03,140,11,5415,1,190,190,Card
